"Time","pulse","spikes","value"
2023-07-22 11:41:20.000,0,17,50
2023-07-22 11:41:10.000,0,17,50
2023-07-22 11:41:00.000,0,17,50
2023-07-22 11:40:50.000,0,17,50
2023-07-22 11:40:40.000,0,17,50
2023-07-22 11:40:30.000,0,16,50
2023-07-22 11:40:20.000,0,16,50
2023-07-22 11:40:10.000,0,16,50
2023-07-22 11:40:00.000,0,16,50
2023-07-22 11:39:50.000,0,16,50
2023-07-22 11:39:40.000,0,16,50
2023-07-22 11:39:30.000,0,16,50
2023-07-22 11:39:20.000,0,16,50
2023-07-22 11:39:10.000,0,16,50
2023-07-22 11:39:00.000,0,16,50
2023-07-22 11:38:50.000,0,16,50
2023-07-22 11:38:40.000,0,16,50
2023-07-22 11:38:30.000,0,16,50
2023-07-22 11:38:20.000,0,16,50
2023-07-22 11:38:10.000,0,16,50
2023-07-22 11:38:00.000,0,16,50
2023-07-22 11:37:50.000,0,16,50
2023-07-22 11:37:40.000,0,16,50
2023-07-22 11:37:30.000,0,16,50
2023-07-22 11:37:20.000,0,16,50
2023-07-22 11:37:10.000,0,16,50
2023-07-22 11:37:00.000,0,16,50
2023-07-22 11:36:50.000,0,16,50
2023-07-22 11:36:40.000,0,16,50
2023-07-22 11:36:30.000,0,16,50
2023-07-22 11:36:20.000,0,16,50
2023-07-22 11:36:10.000,0,16,50
2023-07-22 11:36:00.000,0,16,50
2023-07-22 11:35:50.000,0,16,50
2023-07-22 11:35:40.000,0,16,50
2023-07-22 11:35:30.000,0,16,50
2023-07-22 11:35:20.000,0,16,50
2023-07-22 11:35:10.000,0,16,50
2023-07-22 11:35:00.000,0,16,50
2023-07-22 11:34:50.000,0,16,50
2023-07-22 11:34:40.000,0,16,50
2023-07-22 11:34:30.000,0,16,50
2023-07-22 11:34:20.000,0,16,50
2023-07-22 11:34:10.000,0,16,50
2023-07-22 11:34:00.000,0,16,50
2023-07-22 11:33:50.000,0,16,50
2023-07-22 11:33:40.000,0,16,50
2023-07-22 11:33:30.000,0,16,50
2023-07-22 11:33:20.000,0,16,50
2023-07-22 11:33:10.000,0,16,50
2023-07-22 11:33:00.000,0,16,50
